
# Ventana 1: 100->1 (capacidad JUSTA para 2 bundles de 50MB)
0, 100, 1,   0,  40, 0.020, 10000000, 0.2, 100000000

# Ruta A (rápida pero estrecha): 1->2->200
1,   1,  2,  25,  65, 0.015, 12000000, 0.1, 120000000
2,   2, 200, 55, 100, 0.025,  8000000, 0.1,  80000000

# Ruta B (alternativa más lenta): 1->3->200
3,   1,  3,  30,  80, 0.020,  6000000, 0.2,  90000000
4,   3, 200, 70, 130, 0.030,  5000000, 0.1,  70000000

# Ventana 2: 100->4 (alternativa tardía)
5, 100, 4,  20,  55, 0.025,  9000000, 0.2,  85000000
6,   4,  2,  50,  90, 0.018, 11000000, 0.1, 110000000

# Ruta C (larga pero confiable): 100->5->6->200
7, 100, 5,   5,  45, 0.022,  7000000, 0.2,  95000000
8,   5,  6,  40,  85, 0.016, 13000000, 0.1, 140000000
9,   6, 200, 75, 125, 0.020, 10000000, 0.1, 100000000

